ID,Top-up Month
4,1.0734569793278763
5,0.9936673541363752
6,1.2752413620387826
25,1.1877828876381549
119,1.1401187064888934
126,1.2349409193990442
127,1.230383120020588
345,1.0572146485077576
361,1.0989086624166013
393,1.2443084318040425
483,1.1422613254966778
565,1.2213812707047569
595,0.8214621082481823
607,0.8567683479808992
615,0.9003828822464239
624,1.2351450104627777
627,1.2625719829333155
690,0.9662733765617588
691,1.0117762241975754
693,1.0641906633232912
694,1.056011419224647
695,1.1555280958265137
697,1.176409737612135
698,1.1721662729270996
699,1.171594620623491
705,1.2418927387791796
706,1.2832575470999525
715,1.0597144491374273
719,1.159490973175645
720,1.1219705447030788
727,0.8695774452167309
728,0.910702224710777
780,0.7690392422389989
784,0.7877679348345508
807,0.9155831901679186
810,0.8726257632685208
814,1.0566292886051138
815,1.1640142464593908
816,1.1336321828587308
818,1.040608564226569
819,1.1952280384278935
820,1.182071520157541
822,1.3126494191539422
823,1.3613796466055488
826,1.1675091284932253
963,1.4829296995596009
984,0.8693780629882819
1009,1.3009228978295033
1019,1.3000431847653333
1026,1.614298431185309
1090,0.9453465783399742
1171,1.0020815818963542
1187,0.9850338874949773
1305,0.8472140343613579
1306,0.8581008741399039
1314,0.8701560440648364
1317,0.8010271476690787
1337,1.009511064080474
1358,1.103228421120463
1413,0.9821160521992378
1414,0.95771531217042
1429,1.0052679430591778
1431,1.08461664536243
1434,1.0966651044195976
1453,1.1474295546204505
1472,1.1961619900033145
1476,1.214910354481521
1481,1.200782839067735
1482,1.2015172363236544
1504,1.06742910736235
1524,0.9426168521520522
1528,0.9740601011243111
1635,0.8249335441108745
1639,0.7654820946055003
1642,0.8714170853732859
1649,0.8113242255507975
1650,0.9101472151415266
1657,0.9358618659329341
1659,0.7688378212959677
1661,0.8912406654377336
1662,0.9177549958324736
1667,0.9161825144860898
1807,1.310397881655956
1808,1.3089778077433787
1809,1.3091229230998402
1810,1.2820588569248186
1811,1.2969111040876187
1824,0.9186142885318864
1825,0.9090973456771649
1826,0.8905735424622931
1827,0.9824604265107111
1828,0.9753699276428962
1829,0.994824926950773
1870,1.1178956162421443
1871,1.1593348203841587
1873,1.131307421344397
1874,1.103909594199834
1875,1.1391540625128838
1876,1.15590025497337
1879,1.2939800201590093
1882,1.2742371084554085
1894,1.338586843095036
1895,1.38466574253635
1896,1.5201862969428137
1897,1.3905432679039793
1903,1.2194522444831266
1904,1.2528082243238357
1905,1.2319159683320795
1906,1.1853634314843329
1907,1.196288007605643
1908,1.1901939422362537
1909,1.260501675168942
1910,1.2944809561800577
1911,1.3034467985939795
1912,1.340937771841784
1913,1.3073918205558284
1914,1.3261450729551798
1915,1.3825517044983469
1916,1.3681173190942755
1928,1.229303255622252
1947,1.2272419563040728
1952,1.292716489443037
1956,1.294837065704344
1957,1.2713356348489107
1966,1.3497957588164007
1972,1.2977616688175329
1974,1.2837372826341638
1981,1.2282208998710427
1991,1.4320280054218626
2004,1.7173446276324413
2007,1.7648567715189327
2022,1.608851374980388
2029,1.7934030631846234
2030,1.8531830893410959
2037,1.5910448420813736
2569,0.9045835369898629
2585,0.8934649224363962
2634,0.893782277482813
2645,0.9512272094347938
2648,0.9409238990203352
2649,0.8405899094934492
2659,0.9238163370341501
2666,0.9930191387398937
2669,0.9318135512761643
2670,1.0136547854908433
2700,0.9501233044920956
2705,0.9443033519948647
2709,0.9468822824701191
2714,0.8100002181408295
2737,1.001595668847116
2757,1.0081404528472537
2851,1.0499733620955123
2858,0.8616471992173322
2860,0.9478543701190012
2873,0.9670973011770587
2945,1.0913102181563494
2961,1.0606796431612753
2982,1.0775045286544467
2983,0.9476296409508993
3036,1.0363284154829662
3102,1.0231609534434145
